Title,Author,Type,Date,Edition,Publisher,Pages,ISBN/ISSN,Subjects,Location,Condition,Crop
Price Trends Rootcrops and Highland Vegetables 1983-1987,"Northern Philippines Root Crops Research and Training Center, Benguet State University",,1983-1987,,"Northern Philippines Root Crops Research and Training Center, Benguet State University",31 Pages,,Price Trends Root Crops and Highland Vegetables 1983-1987,8b,Good,Rootcrops
Golden Roots Issue  No. 01,"Betty T. Gayao, Jovita M. Sim, Dalen T. Meldoz, Esther T. Botangen, Charlotte C. Shagol and Esther Josephine D. Sagalla",Journal,January-June 2004,Golden Roots Issue No. 1,"Northern Philippines Root Crops Research and Training Center, Benguet State University",16 Pages,ISSN 1656-5444,"Contribution of Sweetpotato to Income and Nutrition of Farming Households in Aringay, La Union",6b,Good,Rootcrops
Golden Roots Issue  No. 02,"Betty T. Gayao, Jovita M. Sim, Dalen T. Meldoz, Esther T. Botangen, Charlotte C. Shagol and Esther Josephine D. Sagalla",Journal,July-Dec 2004,Golden Roots Issue No. 2,"Northern Philippines Root Crops Research and Training Center, Benguet State University",14 Pages,ISSN 1656-5444,"Contribution of Sweetpotato (SP) Processing to Income and SP Consumption to Nutrition of Households in Baguio City and La Trinidad, Benguet ",6b,Good,Rootcrops
Golden Roots Issue  No. 04,D. T. Meldoz and B. T. Gayao,Journal,July-Dec 2005,Golden Roots Issue No. 4,"Northern Philippines Root Crops Research and Training Center, Benguet State University",50 Pages,ISSN 1656-5444,Sweetpotato Recipes ,6b,Good,Rootcrops
Golden Roots Issue  No. 05,"Donita K. Simonga, Ines C. Gonzales and Fernando A. Balog-as",Journal,January-June 2006,Golden Roots Issue No. 5,"Northern Philippines Root Crops Research and Training Center, Benguet State University",33 Pages,ISSN 1656-5444,Highland Potato Cultivars,6b,Good,Rootcrops
Golden Roots Issue  No. 06,Hilda L. Quindara and Esther T. Botangen,Journal,July-December 2006,Golden Roots Issue No. 6,"Northern Philippines Root Crops Research and Training Center, Benguet State University",24 Pages,ISSN 1656-5444,Sweetpotato Recipes for Better Health,6b,Good,Rootcrops
Golden Roots Issue No. 7,"I. C. Gonzales, D. K. Simongo and F. A. Balog-as",Journal,January-June 2007,Golden Roots Issue No. 7,"Northern Philippines Root Crops Research and Training Center, Benguet State University",17 Pages,ISSN 1656-5444,Promising Sweetpotato for Table and Processing Uses,6b,Good,Rootcrops
Golden Roots Issue No. 8,"Hilda L. Quindara, Esther T. Botangen, Dominga E. Gabriel and Fernando S. Balog-as",Journal,July-Dec 2007,Golden Roots Issue No. 8,"Northern Philippines Root Crops Research and Training Center, Benguet State University",52 Pages,ISSN 1656-5444,Potato Processing and Utilization at the Village Level,6b,Good,Rootcrops
Golden Roots Issue No. 11,Betty T. Gayao and Dalen T. Meldoz,Journal,January-June 2009,Golden Roots Issue No. 11,"Northern Philippines Root Crops Research and Training Center, Benguet State University",64 Pages,ISSN 1656-5444,"Recipes Based on Vegetables, Roots and Tubers",6b,Good,Rootcrops
Golden Roots Issue No. 12,Betty T. Gayao and Dalen T. Meldoz,Journal,July-December 2009,Golden Roots Issue No. 12,"Northern Philippines Root Crops Research and Training Center, Benguet State University",21 Pages,ISSN 1656-5444,"Vegetables, Roots and Tubers Grown and Consumed in the Cordillera Region, Philippines",6b,Good,Rootcrops
Golden Roots Issue No. 13A,"Betty T. Gayao and Dalen T. Meldoz (BSU), Junette Akai, Dionesia Baladad, Anita Cayabas, Juanita Bangwa, Marcelyn Felix and Analyn Cosape (Upper Cogcoga, Pico Barangay), Anna Elizabeth Ota-ot and Luz de Guzman (La Trinidad LGU), Esther Rivera, Angeline Viado Everlita Podeque, Ester Dorencio and Flordeliza Angel (Balili Elementary School)",Journal,January -June 2010,Golden Roots Issue No. 13A,"Northern Philippines Root Crops Research and Training Center, Benguet State University",10 Pages,ISSN 1656-5444,"Consumption of Vegetables, Roots and Tubers, and Diet Quality of Children in La Trinidad, Benguet",6b,Good,Rootcrops
Golden Roots Issue No. 13B,"Betty T. Gayao and Dalen T. Meldoz (BSU), Angelita T. Sabado Chinopsan, Julia Payoyo and Jeol Junsay (BCNC), Rosalina Caya-os, Diana Gajonera, Esther Sapla, Delia Paran and Mary Guyguyon (Irisan Barangay), Teresita Dontogan, Erlyn Angway and Ligaya Awakan (Quirino Elementary School)",Journal,January -June 2010,Golden Roots Issue No. 13B,"Northern Philippines Root Crops Research and Training Center, Benguet State University",13 Pages,ISSN 1656-5444,"Consumption of Vegetables, Roots and Tubers, and Diet Quality of Children in Baguio City",6b,Good,Rootcrops
Golden Roots Issue No. 13C,"Betty T. Gayao and Dalen T. Meldoz (BSU), Clarence Dupingay, Escolastica Dulnuan, Violeta Dulnuan, Clarence Dulnuan and Kyla Bahingawan (Amduntog Barangay), Betty Buccahan, Dr. Matthew Bawayan and Marcelyn Dulnuan (Asipulo MHO)",Journal,January -June 2010,Golden Roots Issue No. 13C,"Northern Philippines Root Crops Research and Training Center, Benguet State University",13 Pages,ISSN 1656-5444,"Consumption of Vegetables, Roots and Tubers, and Diet Quality of Children in Asipulo, Ifugao",6b,Good,Rootcrops
Golden Roots Issue No. 13D,"Betty Gayao and Dalen Meldoz (BSU), Erma Lawangan, Anesia Tawaran, Juana Calipi, Minda Dageo-a, Brenda Mangangey, Freda Calalanoy, Octavio Angayen and Raquel Bungasngas (BHW) (Besao LGU), Zinnia Joan Mantias (Besao Central School)",Journal,January -June 2010,Golden Roots Issue No. 13D,"Northern Philippines Root Crops Research and Training Center, Benguet State University",13 Pages,ISSN 1656-5444,"Consumption of Vegetables, Roots and Tubers, and Diet Quality of Children in Besao, Mt. Province",6b,Good,Rootcrops
Golden Roots Issue No. 13E,"Betty Gayao and Dalen Meldoz (BSU), Hector Pacis, Herman Gandeza, Iluminada Taeza, Valeriana Millare, Jeanette Tagura, Erlinda Ballena and Grace Taeza (Tayum LGU), Lilia Gallardo, Vilma Gandeza, Zenaida Dumlao, and Ma. Lhaian Gallardo (Cabaroan Barangay), Jesusa Alagao, Cristina Asuncion and Teresita Tugadi (Don Mariano Rosales Elementary School)",Journal,January -June 2010,Golden Roots Issue No. 13E,"Northern Philippines Root Crops Research and Training Center, Benguet State University",13 Pages,ISSN 1656-5444,"Consumption of Vegetables, Roots and Tubers, and Diet Quality of Children in Tayum, Abra",6b,Good,Rootcrops
Golden Roots Issue No. 13F,"Betty Gayao and Dalen Meldoz (BSU), Linda Binay-an, Martha Martin, Deling Betwag and Victoria Antonio (Atok LGU), Leticia Malbin and Arsena Depayso (Paoay Barangay), Josephine Egsan (Celo Haight Elemntary School)",Journal,January -June 2010,Golden Roots Issue No. 13F,"Northern Philippines Root Crops Research and Training Center, Benguet State University",10 Pages,ISSN 1656-5444,"Consumption of Vegetables, Roots and Tubers, and Diet Quality of Children in Atok, Benguet",6b,Good,Rootcrops
Golden Roots Issue No. 15,Betty T. Gayao and Dalen T. Meldoz,Journal,January-June 2011,Golden Roots Issue No. 15,"Northern Philippines Root Crops Research and Training Center, Benguet State University",35 Pages,ISSN 1656-5444,Taro and Tannia Recipes ,6b,Good,Rootcrops
NPRCRTC No. 8,"Betty T. Gayao, Dalen T. Meldoz, & Grace S. Backian",Journal,2018,NPRCRTC Working Paper Series No. 8,"Northern Philippines Root Crops Research and Training Center, Benguet State University",43 Pages,ISSN 1655-8952,Root and Tuber Food Preparation Practices among Indigenous People in Northern Philippines,6b,Good,Rootcrops
Production of Sweet Potato,Cynthia G. Kiswa & Teresita D. Masangcay,Book ,2017,,Benguet State University,34 Pages,ISBN 978-971-006-223-2,Production of Sweetpotato Plant Materials: A Training Manual,6b,Good,Sweetpotato
Traditional Roots and Tubers Knowledge No.1,"Betty T. Gayao, Dalen T. Meldoz, & Grace S. Backian",Journal & Book ,Dec-13,Traditional Root and Tuber Knowledge Series No. 1,"NPRCRTC-BSU & Neys-Van Hoogstraten Foundation, The Netherlands",48 Pages,ISSN 2362-8871; ISBN 2362-8871,"Indigenous Knowledge, Technology, and Role of Roots and Tubers among the Ibalois in Benguet, Philippines",6b,Good,Rootcrops
Traditional Roots and Tubers Knowledge No.2,"Betty T. Gayao, Dalen T. Meldoz, & Grace S. Backian",Journal & Book ,Dec-13,Traditional Root and Tuber Knowledge Series No. 2,"NPRCRTC-BSU, Neys-Van Hoogstraten Foundation, The Netherlands & the Municipal Agriculture Office of Sugpon",39 Pages,ISSN 2362-8871; ISBN 2362-8871,"Indigenous Knowledge, Technology, and Role of Roots and Tubers among the Bago Ethnolinguistic Group in Northern Philippines",6b,Good,Rootcrops
Traditional Roots and Tubers Knowledge No. 03,"Betty T. Gayao, Dalen T. Meldoz, & Grace S. Backian",Journal & Book ,Jan-14,Traditional Root and Tuber Knowledge Series No. 3,"NPRCRTC-BSU, Neys-Van Hoogstraten Foundation, The Netherlands & the Department of Agriculture-Region III",24 Pages,ISSN 2362-8871; ISBN 2362-8871,"Indigenous Knowledge, Technology, and Role of Roots and Tubers among the Aetas in Central Luzon, Philippines",6b,Good,Rootcrops
Traditional Roots and Tubers Knowledge No. 04,"Betty T. Gayao, Dalen T. Meldoz, & Grace S. Backian",Journal & Book ,Jan-14,Traditional Root and Tuber Knowledge Series No. 4,"NPRCRTC-BSU, Neys-Van Hoogstraten Foundation, The Netherlands & the Department of Agriculture-Region III",30 Pages,ISSN 2362-8871; ISBN 2362-8871,"Indigenous Knowledge, Technology, and Role of Roots and Tubers among the Kapampangan and Ilocano Rootcrop Farmers in Central Luzon, Philippines",6b,Good,Rootcrops
Traditional Roots and Tubers Knowledge No. 05,"Betty T. Gayao, Dalen T. Meldoz, & Grace S. Backian",Journal & Book ,Feb-14,Traditional Root and Tuber Knowledge Series No. 5,"NPRCRTC-BSU, Neys-Van Hoogstraten Foundation, The Netherlands & the Batanes State College",30 Pages,ISSN 2362-8871; ISBN 2362-8871,"Indigenous Knowledge, Technology, and Role of Roots and Tubers among the Ivatan Ethnolinguistic Group in Batanes, Philippines",6b,Good,Rootcrops
Traditional Roots and Tubers Knowledge No. 06,"Betty T. Gayao, Dalen T. Meldoz, & Grace S. Backian",Journal & Book ,Feb-14,Traditional Root and Tuber Knowledge Series No. 6,"NPRCRTC-BSU, Neys-Van Hoogstraten Foundation, The Netherlands & the Apayao State College",23 Pages,ISSN 2362-8871; ISBN 2362-8871,"Indigenous Knowledge, Technology, and Role of Roots and Tubers among the Isneg Ethnolinguistic Group in Apayao, Philippines",6b,Good,Rootcrops
Traditional Roots and Tubers Knowledge No. 07,"Betty T. Gayao, Dalen T. Meldoz, & Grace S. Backian",Journal & Book ,Mar-14,Traditional Root and Tuber Knowledge Series No. 7,"NPRCRTC-BSU, Neys-Van Hoogstraten Foundation, The Netherlands & the Agriculture Office of San Jose City, Occidental Mindoro",26 Pages,ISSN 2362-8871; ISBN 2362-8871,"Indigenous Knowledge, Technology, and Role of Roots and Tubers among the Buhid-Mangyans Ethnolinguistic Group in Occidental Mindoro, Philippines",6b,Good,Rootcrops
Traditional Roots and Tubers Knowledge No. 08,"Betty T. Gayao, Dalen T. Meldoz, & Grace S. Backian",Journal & Book ,Mar-14,Traditional Root and Tuber Knowledge Series No. 8,"NPRCRTC-BSU, Neys-Van Hoogstraten Foundation, The Netherlands & the Kalinga-Apayao State College ",23 Pages,ISSN 2362-8871; ISBN 2362-8871,"Indigenous Knowledge, Technology, and Role of Roots and Tubers among the Biga Sub-Tribe of the Kalinga Ethnolinguistic Group in Northern Philippines",6b,Good,Rootcrops
Traditional Roots and Tubers Knowledge No. 09,"Betty T. Gayao, Dalen T. Meldoz, & Grace S. Backian",Journal & Book ,Apr-14,Traditional Root and Tuber Knowledge Series No. 9,"NPRCRTC-BSU, Neys-Van Hoogstraten Foundation, The Netherlands & the National Commission on Indigenous People-Nueva Viscaya",18 Pages,ISSN 2362-8871; ISBN 2362-8871,"Indigenous Knowledge, Technology, and Role of Roots and Tubers among the Bugkalots in Nueva Viscaya, Philippines",6b,Good,Rootcrops
Traditional Roots and Tubers Knowledge No. 11,"Betty T. Gayao, Dalen T. Meldoz, & Grace S. Backian",Journal & Book ,May-14,Traditional Root and Tuber Knowledge Series No. 11,"NPRCRTC-BSU, Neys-Van Hoogstraten Foundation, The Netherlands & the Sagpat Local Government Unit",30 Pages,ISSN 2362-8871; ISBN 2362-8871,"Indigenous Knowledge, Technology, and Role of Roots and Tubers among the Kankana-eys in Benguet, Philippines",6b,Good,Rootcrops
Traditional Roots and Tubers Knowledge No. 12,"Betty T. Gayao, Dalen T. Meldoz, & Grace S. Backian",Journal & Book ,May-14,Traditional Root and Tuber Knowledge Series No. 12,"NPRCRTC-BSU, Neys-Van Hoogstraten Foundation, The Netherlands & the Abra Institute of Science and Technology ",30 Pages,ISSN 2362-8871; ISBN 2362-8871,"Indigenous Knowledge, Technology, and Role of Roots and Tubers among the Highland Tingguians in Abra, Philippines",6b,Good,Rootcrops
Traditional Roots and Tubers Knowledge No. 13,"Betty T. Gayao, Dalen T. Meldoz, & Grace S. Backian",Journal & Book ,Jun-14,Traditional Root and Tuber Knowledge Series No. 13,"NPRCRTC-BSU, Neys-Van Hoogstraten Foundation, The Netherlands & the Amduntog Local Government Unit",23 Pages,ISSN 2362-8871; ISBN 2362-8871,"Indigenous Knowledge, Technology, and Role of Roots and Tubers among the Iyattuka Ethnolinguistic Group in Ifugao, Philippines",6b,Good,Rootcrops
Traditional Roots and Tubers Knowledge No. 14,"Betty T. Gayao, Dalen T. Meldoz, & Grace S. Backian",Journal & Book ,Jun-14,Traditional Root and Tuber Knowledge Series No. 14,"NPRCRTC-BSU, Neys-Van Hoogstraten Foundation, The Netherlands & the Bauko Municipal Agriculture Office",28 Pages,ISSN 2362-8871; ISBN 2362-8871,"Indigenous Knowledge, Technology, and Role of Roots and Tubers among the Applai-Kankana-ey Ethnolonguistic Group in Mountain Province, Philippines",6b,Good,Rootcrops
NPRCTC No. 1,"Betty T. Gayao, Jovita M. Sim, Dalen T. Meldoz, & Esther T. Botangen",Journal,January-June 2004,NPRCRTC Working Paper Series No. 1,Northern Philippine Root Crops Research and Training Center (NPRCRTC),49 Pages,ISSN 1655-8952,"Contribution of Sweetpotato to Household Income, Food, and Nutrient Intake of Farmers and Processors",6b,Good,Rootcrops
NPRCRTC No. 2,"D. T. Meldoz, B. T. Gayao, E. T. Botangen, H. L. Quindara, & J. M. Sim",,January-June 2004,NPRCRTC Working Paper Series No. 2,Northern Philippine Root Crops Research and Training Center (NPRCRTC),Page 17- 32,ISSN 1655-8952,Assessing Market Potential of Sweetpotato Snack Food Products,,,Rootcrops
NPRCRTC No. 3,"B. T. Gayao, D. T. Meldoz, C. C. Shagol, & J. M. Sim ",Journal,July-December 2005,NPRCRTC Working Paper Series No. 3,Northern Philippine Root Crops Research and Training Center (NPRCRTC),37 Pages,ISSN 1655-8952,"A Participatory Nutrition Intervention Strategy to Improve Children's Consumption of Vegetables, Fruits & Root Crops",6b,Good,Rootcrops
NPRCTC N0. 4,"Betty T. Gayao, Erlinda B. Alupias, & Jovita M. Sim",Journal,January-June 2006,NPRCRTC Working Paper Series No. 4,Northern Philippine Root Crops Research and Training Center (NPRCRTC),17 Pages,ISSN 1655-8952,Traditional Yam Production Practices in the Mid-Elevation Areas of the Cordilleras,6b,Good,Rootcrops
NPRCTC No. 5,"Jocelyn C. Perez, Paz A. Dalang, Cynthia G. Kiswa, Wilma L. Marquez, Lito M. Pacuz, & Grace S. Backian",Journal,July-December 2006,NPRCRTC Working Paper Series No. 5,Northern Philippine Root Crops Research and Training Center (NPRCRTC),24 Pages,ISSN 1655-8952,Improvement of the Potato Seed Production Technology in the Philippines,6b,Good,Rootcrops
NPRCRTC No. 6,"B. T. Gayao, D. T. Meldoz, G. S. Backian, & V. B. Salda",Journal,January-June 2007,NPRCRTC Working Paper Series No. 6,Northern Philippine Root Crops Research and Training Center (NPRCRTC),18 Pages,ISSN 1655-8952,Promising Yam Production Technologies for the Establishment of Purple Yam Seed System,6b,Good,Rootcrops
NPRCRTC No. 7,"Dalen T. Meldoz, Betty T. Gayao, and Constancio B. Pulinney",Journal,July-December 2007,NPRCRTC Working Paper Series No. 7,Northern Philippine Root Crops Research and Training Center (NPRCRTC),24 Pages,ISSN 1655-8952,Minor Root Crops: Industry Profile in the Philippines,6b,Good,Rootcrops
Proceedings 1st Luzon,Northern Philippine Root Crops Research and Training Center (NPRCRTC),Book,2005,,Northern Philippine Root Crops Research and Training Center (NPRCRTC),110 Pages,ISBN 971-92528-4-7,"PROCEEDINGS: 1st Luzon Conference on Yam Production, Processing, and Market Promotion held at RSDC and NPRCRTC, Benguet State University La Trinidad, Benguet on 26-28 of November 2003 with the theme ""From Subsistence Yam Production to Commercialization""",6b,Good,Rootcrops
"Catalogue of Yam Collection in Benguet, Philippines","Betty T. Gayao,  Grace S. Backian, Dalen T. Meldoz, & Esther T. Botangen",Book,Mar-15,,Northern Philippine Root Crops Research and Training Center (NPRCRTC),147 Pages,ISBN 978-971-92528-7-0,"Catalogue of Yam Collection in Benguet, Philippines",6b,Good,Rootcrops
Lesser Collection YAM,"Betty T. Gayao, Dalen T. Meldoz, Grace S. Backian, & Esther T. Botangen",Book,Jun-15,,Northern Philippine Root Crops Research and Training Center (NPRCRTC),34 Pages,ISBN 978-971-006-130-3,Lesser Yam Collection. NPRCRTC-BSU and KADASA FARM,6b,Good,Rootcrops
Marketing System of Potatoes Produced In Benguet and Mountain Province (1997),,,1997,,"Northern Philippines Rootcrops Research and Training Center, Benguet State University & National Postharvest Institute for Research and Extension, Department of Agriculture",19 Pages,,"Marketing System of Potatoes Produced in Benguet and Mountain Province, Philippines",6b,Good,Potato
Value Chain,Ines C. Gonzales & Cynthia G. Kiswa,,Feb-16,,,138 Pages,,Value Chain Analysis of Potato in Cordillera Administrative Region (CAR),6b,Good,Rootcrops
Farming Practices and Farm Environment Affecting Incidence Insect Pests and Diseases_Volume 2,"Grace S. Backian, Ammie D. Ngaotoy, Jophr L. Galian and Betty T. Gayao",Book,Aug-20,Volume 2,"Northern Philippines Root Crops Research and Training Center, Benguet State University, La Trinidad, Benguet & Neys-van Hoogstraten Foundation, The Netherlands",120 Pages,ISBN 978-621-96156-1-7,"Farming Practices and Farm Environment Affecting Incidence of Insect Pests and Diseases on Sweetpotato, Taro and Yam Grown by Indigenous Farmers in Benguet and Nueva Vizcaya, Philippines",6b,Good,Rootcrops
